group,n_images,ahash_mean_hamming,ahash_sd,dhash_mean_hamming,dhash_sd,palette_cosine_mean,palette_cosine_sd,ahash_similarity,dhash_similarity,palette_similarity,repeatability_score
Smells_Like_Teen_Spirit,10,25.778,4.636,29.533,4.24,0.7436,0.1072,0.5972,0.5385,0.7436,60.3
Sade_(Smooth_Operator),10,28.022,4.929,31.378,4.697,0.738,0.1107,0.5622,0.5097,0.738,57.63
Billig_jeans_(feat__Linni),10,30.422,6.362,31.489,4.93,0.7761,0.0751,0.5247,0.508,0.7761,56.83
Papaoutai,10,28.933,5.136,30.889,5.046,0.6922,0.1159,0.5479,0.5174,0.6922,56.45
One_More_Time,10,28.822,5.051,31.733,3.44,0.672,0.1151,0.5497,0.5042,0.672,55.59
Claude_Debussy__Clair_de_Lune,10,30.089,4.532,30.422,3.781,0.6473,0.1444,0.5299,0.5247,0.6473,55.13
Walking_On_Sunshine,10,29.911,4.786,31.444,4.63,0.649,0.133,0.5326,0.5087,0.649,54.63
The_4_Seasons_(Spring)_I__Allegro,10,29.044,5.045,30.956,4.532,0.5951,0.1478,0.5462,0.5163,0.5951,54.4
Blinding_Lights,10,29.044,5.76,31.756,4.488,0.5843,0.1435,0.5462,0.5038,0.5843,53.69
Jolene_(feat__Dolly_Parton),10,31.089,4.631,31.578,3.793,0.5762,0.1448,0.5142,0.5066,0.5762,52.36
ALL,100,30.125,5.668,31.117,4.258,0.6376,0.1543,0.5293,0.5138,0.6376,54.48
