group,n_images,ahash_mean_hamming,ahash_sd,dhash_mean_hamming,dhash_sd,palette_cosine_mean,palette_cosine_sd,ahash_similarity,dhash_similarity,palette_similarity,repeatability_score,phash_mean_hamming,phash_sd,phash_similarity,baseline_group,baseline_score,lift,lift_pct
Smells_Like_Teen_Spirit,10,26.956,5.924,30.956,4.306,0.8427,0.1048,0.5788,0.5163,0.8427,58.71,30.533,4.065,0.5229,ALL,52.380000,6.330000,12.08%
Sade_(Smooth_Operator),10,28.378,5.357,31.044,3.849,0.8014,0.0847,0.5566,0.5149,0.8014,57.13,30.911,4.199,0.517,ALL,52.380000,4.750000,9.07%
Blinding_Lights,10,30.289,5.294,31.089,4.316,0.8311,0.0598,0.5267,0.5142,0.8311,56.82,30.133,4.869,0.5292,ALL,52.380000,4.440000,8.48%
The_4_Seasons_(Spring)_I__Allegro,10,30.333,5.721,30.4,5.618,0.7906,0.1108,0.526,0.525,0.7906,56.28,30.511,3.559,0.5233,ALL,52.380000,3.900000,7.45%
Claude_Debussy__Clair_de_Lune,10,29.978,6.897,31.933,4.956,0.8339,0.0883,0.5316,0.501,0.8339,56.24,31.289,4.434,0.5111,ALL,52.380000,3.860000,7.37%
One_More_Time,10,30.378,5.883,32.133,4.054,0.8246,0.0657,0.5253,0.4979,0.8246,56.08,30.689,4.552,0.5205,ALL,52.380000,3.700000,7.06%
Papaoutai,10,28.978,6.737,30.089,4.316,0.6791,0.1495,0.5472,0.5299,0.6791,55.16,31.378,4.292,0.5097,ALL,52.380000,2.780000,5.31%
Billig_jeans_(feat__Linni),10,30.667,4.328,32.022,3.911,0.794,0.079,0.5208,0.4997,0.794,55.15,31.511,4.516,0.5076,ALL,52.380000,2.770000,5.29%
Walking_On_Sunshine,10,30.8,6.28,31.4,4.938,0.7174,0.0926,0.5188,0.5094,0.7174,54.47,30.889,4.682,0.5174,ALL,52.380000,2.090000,3.99%
Jolene_(feat__Dolly_Parton),10,30.8,4.251,31.867,4.132,0.6606,0.1573,0.5188,0.5021,0.6606,53.83,30.156,3.919,0.5288,ALL,52.380000,1.450000,2.77%
