group,path,width,height,lap_var,hf_ratio,resid_rms,lap_var_scaled,hf_ratio_scaled,resid_rms_scaled,noise_index
ALL,all_images_h2/prompt-frozen_steps-25/Jolene_(feat__Dolly_Parton)_20250818_200120.png,1024,1024,0.033275,0.013342,0.04062,1.0,0.534414,0.996622,84.37
ALL,all_images_h2/prompt-frozen_steps-25/Jolene_(feat__Dolly_Parton)_20250818_200219.png,1024,1024,0.010712,0.007038,0.025889,0.192515,0.128402,0.251052,19.07
ALL,all_images_h2/prompt-frozen_steps-25/Jolene_(feat__Dolly_Parton)_20250818_200323.png,1024,1024,0.015425,0.010026,0.029882,0.398904,0.320854,0.453162,39.1
ALL,all_images_h2/prompt-frozen_steps-25/Jolene_(feat__Dolly_Parton)_20250818_200425.png,1024,1024,0.018347,0.008271,0.030552,0.526902,0.207824,0.487034,40.73
ALL,all_images_h2/prompt-frozen_steps-25/Jolene_(feat__Dolly_Parton)_20250818_200528.png,1024,1024,0.012519,0.008782,0.030137,0.271648,0.240717,0.466075,32.61
ALL,all_images_h2/prompt-frozen_steps-25/One_More_Time_20250818_194304.png,1024,1024,0.008732,0.008198,0.02477,0.105788,0.20314,0.194405,16.78
ALL,all_images_h2/prompt-frozen_steps-25/One_More_Time_20250818_194427.png,1024,1024,0.004778,0.004295,0.017898,0.0,0.0,0.0,0.0
ALL,all_images_h2/prompt-frozen_steps-25/One_More_Time_20250818_194548.png,1024,1024,0.008801,0.006209,0.024008,0.108805,0.075013,0.155873,11.32
ALL,all_images_h2/prompt-frozen_steps-25/One_More_Time_20250818_194709.png,1024,1024,0.005774,0.003805,0.019964,0.0,0.0,0.0,0.0
ALL,all_images_h2/prompt-frozen_steps-25/One_More_Time_20250818_194829.png,1024,1024,0.010315,0.00976,0.027367,0.175105,0.303755,0.325837,26.82
ALL,all_images_h2/prompt-frozen_steps-25/One_More_Time_20250818_194927.png,1024,1024,0.006322,0.00505,0.021995,0.000216,0.000411,0.053993,1.82
ALL,all_images_h2/prompt-frozen_steps-25/One_More_Time_20250818_195025.png,1024,1024,0.005849,0.006419,0.020397,0.0,0.088526,0.0,2.95
ALL,all_images_h2/prompt-frozen_steps-25/One_More_Time_20250818_195125.png,1024,1024,0.008324,0.006388,0.024037,0.087898,0.086545,0.157303,11.06
ALL,all_images_h2/prompt-frozen_steps-25/One_More_Time_20250818_195224.png,1024,1024,0.012663,0.006876,0.02721,0.27796,0.117994,0.3179,23.8
ALL,all_images_h2/prompt-frozen_steps-25/One_More_Time_20250818_195325.png,1024,1024,0.009464,0.007642,0.027199,0.13786,0.167342,0.317337,20.75
ALL,all_images_h2/prompt-frozen_steps-25/Papaoutai_20250818_205320.png,1024,1024,0.016168,0.012782,0.033233,0.431452,0.498332,0.622729,51.75
