group,n_images,ahash_mean_hamming,ahash_sd,dhash_mean_hamming,dhash_sd,palette_cosine_mean,palette_cosine_sd,ahash_similarity,dhash_similarity,palette_similarity,repeatability_score,phash_mean_hamming,phash_sd,phash_similarity
Blinding_Lights,10,24.867,5.35,29.356,4.458,0.8123,0.0653,0.6115,0.5413,0.8123,61.48,27.178,4.064,0.5753
Sade_(Smooth_Operator),10,24.911,5.542,29.8,4.294,0.9175,0.0328,0.6108,0.5344,0.9175,61.42,30.289,4.893,0.5267
The_4_Seasons_(Spring)_I__Allegro,10,25.689,5.125,28.511,4.625,0.7913,0.0756,0.5986,0.5545,0.7913,60.21,28.956,4.661,0.5476
Jolene_(feat__Dolly_Parton),10,25.467,4.62,28.911,4.399,0.7771,0.0675,0.6021,0.5483,0.7771,60.11,28.711,4.596,0.5514
Papaoutai,10,25.289,5.208,29.733,5.241,0.7548,0.1068,0.6049,0.5354,0.7548,59.43,29.111,5.18,0.5451
Claude_Debussy__Clair_de_Lune,10,26.978,5.918,30.156,4.199,0.8472,0.0589,0.5785,0.5288,0.8472,59.22,30.111,4.653,0.5295
Walking_On_Sunshine,10,28.822,5.271,29.444,4.989,0.7741,0.0631,0.5497,0.5399,0.7741,57.41,30.067,4.213,0.5302
Smells_Like_Teen_Spirit,10,30.178,6.84,32.356,3.724,0.7707,0.096,0.5285,0.4944,0.7707,55.07,31.311,3.692,0.5108
Billig_jeans_(feat__Linni),10,31.222,5.165,32.556,3.929,0.8032,0.0863,0.5122,0.4913,0.8032,54.71,31.711,4.299,0.5045
One_More_Time,10,30.0,5.205,32.533,3.811,0.7146,0.0865,0.5312,0.4917,0.7146,54.42,31.067,3.979,0.5146
ALL,100,28.567,5.798,30.559,4.469,0.7092,0.1049,0.5536,0.5225,0.7092,56.06,30.495,4.325,0.5235
