group,n_images,lap_var_mean,lap_var_sd,hf_ratio_mean,hf_ratio_sd,resid_rms_mean,resid_rms_sd,noise_index_mean,noise_index_sd
Billig_jeans_(feat__Linni),10,0.017111,0.004194,0.013102,0.003274,0.031266,0.003019,50.5,16.41
Blinding_Lights,10,0.012617,0.003885,0.010075,0.004434,0.029188,0.003358,33.58,16.19
Claude_Debussy__Clair_de_Lune,10,0.008849,0.001799,0.007407,0.001481,0.023829,0.002235,13.66,8.13
Jolene_(feat__Dolly_Parton),10,0.015242,0.007193,0.008463,0.002052,0.02939,0.004571,34.04,20.35
One_More_Time,10,0.008102,0.002431,0.006464,0.001804,0.023485,0.003339,11.53,10.17
Papaoutai,10,0.015423,0.005152,0.012384,0.004927,0.031409,0.002974,45.8,14.62
Sade_(Smooth_Operator),10,0.015792,0.00822,0.011202,0.004615,0.029069,0.006616,41.32,31.31
Smells_Like_Teen_Spirit,10,0.019744,0.010445,0.012687,0.004569,0.031113,0.007065,50.05,30.05
The_4_Seasons_(Spring)_I__Allegro,10,0.01046,0.003246,0.006096,0.000954,0.024562,0.002825,14.56,10.97
Walking_On_Sunshine,10,0.026037,0.006794,0.017217,0.004494,0.03922,0.004401,80.78,19.21
ALL,100,0.014938,0.00765,0.01051,0.004769,0.029253,0.006071,37.58,27.36
