group,path,width,height,lap_var,hf_ratio,resid_rms,lap_var_scaled,hf_ratio_scaled,resid_rms_scaled,noise_index
ALL,all_images_h2/prompt-frozen_steps-50/Billig_jeans_(feat__Linni)_20250819_000004.png,1024,1024,0.008327,0.008836,0.026144,0.005465,0.14037,0.092575,7.95
ALL,all_images_h2/prompt-frozen_steps-50/Billig_jeans_(feat__Linni)_20250819_000212.png,1024,1024,0.011734,0.010574,0.027978,0.218242,0.316936,0.218876,25.14
ALL,all_images_h2/prompt-frozen_steps-50/Billig_jeans_(feat__Linni)_20250819_000424.png,1024,1024,0.014594,0.012121,0.031635,0.396842,0.474163,0.470783,44.73
ALL,all_images_h2/prompt-frozen_steps-50/Billig_jeans_(feat__Linni)_20250819_000631.png,1024,1024,0.009688,0.008669,0.02589,0.090463,0.123339,0.075111,9.63
ALL,all_images_h2/prompt-frozen_steps-50/Billig_jeans_(feat__Linni)_20250819_000820.png,1024,1024,0.009858,0.008905,0.026538,0.101079,0.147304,0.11972,12.27
ALL,all_images_h2/prompt-frozen_steps-50/Billig_jeans_(feat__Linni)_20250819_001013.png,1024,1024,0.019156,0.017444,0.03552,0.681812,1.0,0.7383,80.67
ALL,all_images_h2/prompt-frozen_steps-50/Billig_jeans_(feat__Linni)_20250819_001207.png,1024,1024,0.011856,0.008183,0.027932,0.225878,0.073988,0.215748,17.19
ALL,all_images_h2/prompt-frozen_steps-50/Billig_jeans_(feat__Linni)_20250819_001400.png,1024,1024,0.012046,0.010595,0.029435,0.23776,0.319102,0.319219,29.2
ALL,all_images_h2/prompt-frozen_steps-50/Billig_jeans_(feat__Linni)_20250819_001553.png,1024,1024,0.014504,0.014075,0.033418,0.391263,0.672653,0.59355,55.25
ALL,all_images_h2/prompt-frozen_steps-50/Billig_jeans_(feat__Linni)_20250819_001745.png,1024,1024,0.009309,0.013228,0.028113,0.066767,0.586676,0.228175,29.39
ALL,all_images_h2/prompt-frozen_steps-50/Blinding_Lights_20250819_012024.png,1024,1024,0.013253,0.010779,0.030362,0.313094,0.337793,0.383058,34.46
ALL,all_images_h2/prompt-frozen_steps-50/Blinding_Lights_20250819_012233.png,1024,1024,0.010231,0.012193,0.026118,0.124395,0.481421,0.09082,23.22
ALL,all_images_h2/prompt-frozen_steps-50/Blinding_Lights_20250819_012444.png,1024,1024,0.008193,0.009448,0.024677,0.0,0.202555,0.0,6.75
ALL,all_images_h2/prompt-frozen_steps-50/Blinding_Lights_20250819_012652.png,1024,1024,0.017136,0.017288,0.032824,0.555605,0.999207,0.552622,70.25
ALL,all_images_h2/prompt-frozen_steps-50/Blinding_Lights_20250819_012843.png,1024,1024,0.018987,0.014564,0.034503,0.671217,0.722433,0.66828,68.73
ALL,all_images_h2/prompt-frozen_steps-50/Blinding_Lights_20250819_013037.png,1024,1024,0.018192,0.014913,0.033308,0.621546,0.757881,0.586008,65.51
ALL,all_images_h2/prompt-frozen_steps-50/Blinding_Lights_20250819_013232.png,1024,1024,0.009365,0.010029,0.026713,0.070285,0.261547,0.131762,15.45
ALL,all_images_h2/prompt-frozen_steps-50/Blinding_Lights_20250819_013427.png,1024,1024,0.020881,0.018568,0.03656,0.789525,1.0,0.809936,86.65
ALL,all_images_h2/prompt-frozen_steps-50/Blinding_Lights_20250819_013622.png,1024,1024,0.007037,0.008132,0.023418,0.0,0.068795,0.0,2.29
ALL,all_images_h2/prompt-frozen_steps-50/Blinding_Lights_20250819_013816.png,1024,1024,0.016355,0.008996,0.031033,0.506874,0.156541,0.429291,36.42
ALL,all_images_h2/prompt-frozen_steps-50/Claude_Debussy__Clair_de_Lune_20250818_224020.png,1024,1024,0.024177,0.013249,0.03621,0.995365,0.588768,0.785824,79.0
ALL,all_images_h2/prompt-frozen_steps-50/Claude_Debussy__Clair_de_Lune_20250818_224228.png,1024,1024,0.010361,0.006623,0.026087,0.132506,0.0,0.088673,7.37
ALL,all_images_h2/prompt-frozen_steps-50/Claude_Debussy__Clair_de_Lune_20250818_224434.png,1024,1024,0.012281,0.008482,0.027711,0.252399,0.104301,0.20049,18.57
ALL,all_images_h2/prompt-frozen_steps-50/Claude_Debussy__Clair_de_Lune_20250818_224641.png,1024,1024,0.013949,0.006,0.026393,0.356608,0.0,0.109724,15.54
ALL,all_images_h2/prompt-frozen_steps-50/Claude_Debussy__Clair_de_Lune_20250818_224830.png,1024,1024,0.016982,0.011885,0.031426,0.546009,0.45011,0.456376,48.42
ALL,all_images_h2/prompt-frozen_steps-50/Claude_Debussy__Clair_de_Lune_20250818_225024.png,1024,1024,0.015681,0.007821,0.029766,0.464758,0.037163,0.34201,28.13
ALL,all_images_h2/prompt-frozen_steps-50/Claude_Debussy__Clair_de_Lune_20250818_225217.png,1024,1024,0.022664,0.012537,0.036124,0.900849,0.516391,0.779923,73.24
ALL,all_images_h2/prompt-frozen_steps-50/Claude_Debussy__Clair_de_Lune_20250818_225410.png,1024,1024,0.012458,0.008273,0.027984,0.263475,0.083139,0.219288,18.86
ALL,all_images_h2/prompt-frozen_steps-50/Claude_Debussy__Clair_de_Lune_20250818_225602.png,1024,1024,0.025661,0.011953,0.036899,1.0,0.457109,0.833263,76.35
ALL,all_images_h2/prompt-frozen_steps-50/Claude_Debussy__Clair_de_Lune_20250818_225754.png,1024,1024,0.014727,0.009763,0.030797,0.405184,0.234568,0.413049,35.09
