group,n_images,ahash_mean_hamming,ahash_sd,dhash_mean_hamming,dhash_sd,palette_cosine_mean,palette_cosine_sd,ahash_similarity,dhash_similarity,palette_similarity,repeatability_score,phash_mean_hamming,phash_sd,phash_similarity
Papaoutai,10,24.4,4.158,30.378,4.366,0.7827,0.1082,0.6188,0.5253,0.7827,59.83,29.733,3.934,0.5354
Smells_Like_Teen_Spirit,10,27.289,5.102,30.267,4.653,0.7188,0.1194,0.5736,0.5271,0.7188,57.63,29.089,4.242,0.5455
Billig_jeans_(feat__Linni),10,28.022,7.817,31.289,4.465,0.798,0.075,0.5622,0.5111,0.798,57.53,30.178,4.658,0.5285
Blinding_Lights,10,29.667,5.054,30.933,4.103,0.7847,0.0624,0.5365,0.5167,0.7847,56.55,30.156,4.134,0.5288
Sade_(Smooth_Operator),10,29.378,4.397,30.978,4.654,0.7379,0.1386,0.541,0.516,0.7379,55.92,30.4,4.191,0.525
Claude_Debussy__Clair_de_Lune,10,29.756,4.82,30.2,4.054,0.6741,0.162,0.5351,0.5281,0.6741,55.06,30.4,4.002,0.525
One_More_Time,10,30.489,6.976,31.733,4.255,0.6855,0.142,0.5236,0.5042,0.6855,54.12,30.8,4.65,0.5188
The_4_Seasons_(Spring)_I__Allegro,10,30.2,6.074,30.8,4.02,0.6531,0.1144,0.5281,0.5188,0.6531,54.03,31.022,4.093,0.5153
Walking_On_Sunshine,10,30.622,5.297,31.356,3.613,0.6108,0.1299,0.5215,0.5101,0.6108,53.09,30.822,4.25,0.5184
Jolene_(feat__Dolly_Parton),10,31.8,4.531,30.889,3.956,0.647,0.1215,0.5031,0.5174,0.647,53.08,30.889,3.909,0.5174
ALL,100,29.355,5.746,30.578,4.42,0.6624,0.1577,0.5413,0.5222,0.6624,54.92,30.537,4.245,0.5229
