group,n_images,lap_var_mean,lap_var_sd,hf_ratio_mean,hf_ratio_sd,resid_rms_mean,resid_rms_sd,noise_index_mean,noise_index_sd
Billig_jeans_(feat__Linni),10,0.02077,0.009666,0.012172,0.004037,0.032368,0.006622,57.84,27.84
Blinding_Lights,10,0.016734,0.007187,0.009111,0.00278,0.029103,0.004034,41.84,19.64
Claude_Debussy__Clair_de_Lune,10,0.006325,0.003183,0.004128,0.001749,0.019143,0.002938,5.9,9.52
Jolene_(feat__Dolly_Parton),10,0.030048,0.014343,0.009807,0.002834,0.035294,0.007353,61.78,25.69
One_More_Time,10,0.015636,0.006664,0.00909,0.004141,0.028234,0.005069,38.73,21.81
Papaoutai,10,0.012799,0.009365,0.008762,0.0031,0.02659,0.007097,34.14,23.13
Sade_(Smooth_Operator),10,0.022124,0.011523,0.010727,0.004925,0.031056,0.006104,50.21,21.69
Smells_Like_Teen_Spirit,10,0.031471,0.011451,0.01285,0.003821,0.035691,0.005392,71.78,19.08
The_4_Seasons_(Spring)_I__Allegro,10,0.011494,0.008274,0.007336,0.004851,0.025844,0.007478,27.26,30.77
Walking_On_Sunshine,10,0.021087,0.009147,0.006971,0.00192,0.030356,0.005024,42.32,20.97
ALL,100,0.018849,0.011827,0.009095,0.004196,0.029368,0.007287,43.18,28.08
